date,EFFR,us employment cost index,us unemployment rate,"Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United States, Percent, Quarterly, Not Seasonally Adjusted",adults investing money in the stock market(%),HSCI,CCMP Index,NYA Index,us market cap,gdp change %,us bankruptcy_prc_chg,hk bankruptcy_prc_chg,fd_change
2000-03-31,5.85,118.32527472527471,4.087491239,6.48,62,19994137922077.92,24100000000000.0,32800000000000.0,56900000000000.0,0.0,0.0,0.0,0.0
2000-06-30,6.53,118.32527472527471,3.984665021,6.176666667,62,19994137922077.92,22300000000000.0,31900000000000.0,54100000000000.0,2.4548750827194676,3.0076680487297294,-4.701627486437613,-3.874528900403211
2000-09-30,6.52,118.32527472527471,4.058545355,5.893333333,62,19994137922077.92,23000000000000.0,33100000000000.0,56100000000000.0,0.6874212019844563,-4.044086793543634,13.66223908918406,-0.8881333681536047
2000-12-31,6.4,118.32527472527471,3.949702535,5.566666667,62,19994137922077.92,20600000000000.0,32000000000000.0,52700000000000.0,1.139534015980552,0.4700082275733842,0.0,-1.3351546848612768
2001-03-31,5.31,87.6,4.292366071,5.05,62,19994137922077.92,17800000000000.0,31700000000000.0,49500000000000.0,0.3304699693668144,18.271329501013962,19.198664440734557,1.6337528728535389
2001-06-30,3.97,88.4,4.490615573,5.27,62,19994137922077.92,17900000000000.0,28400000000000.0,46300000000000.0,1.2298582524110522,9.14646945134268,37.745098039215684,-2.0177773457801846
2001-09-30,3.07,89.2,4.866259056,4.98,62,19994137922077.92,18900000000000.0,30600000000000.0,49500000000000.0,-0.009246155297665473,-10.208944189972877,30.554143365531267,1.417650580724444
2001-12-31,1.82,90.0,5.594910264,4.77,62,19994137922077.92,24200000000000.0,35500000000000.0,59600000000000.0,0.5892138342822499,1.5028454764434604,24.143302180685357,1.7419184004855783
2002-03-31,1.73,90.7,5.805090395,5.076666667,60,19994137922077.92,26600000000000.0,36600000000000.0,63200000000000.0,1.1541241399882636,3.861383696745323,26.756587202007527,-0.09983469698753045
2002-06-30,1.75,91.6,5.91567144,5.1,60,3529220000000.0,24400000000000.0,34500000000000.0,59000000000000.0,0.9640654703945764,5.718552446888225,51.74461766889383,1.0312497194617287
